Player,R,B,4s,6s,Not Out
Sunil Narine,71,40,6,6,2
Suryakumar Yadav,303,208,23,16,1
Suyash Prabhudessai,67,59,7,2,0
Tilak Varma,397,303,29,16,3
Tim David,186,86,12,16,3
Tim Seifert,24,19,4,0,0
Tim Southee,2,12,0,0,1
Trent Boult,40,29,2,1,6
Tristan Stubbs,2,4,0,0,0
Tymal Mills,0,3,0,0,1
Umesh Yadav,55,40,4,4,3
Umran Malik,4,8,0,0,3
Vaibhav Arora,5,13,0,0,2
Varun Chakravarthy,12,18,2,0,4
Venkatesh Iyer,182,169,17,7,1
Vijay Shankar,19,35,1,0,0
Virat Kohli,341,294,32,8,1
Wanindu Hasaranga de Silva,38,43,4,1,0
Washington Sundar,101,69,9,3,0
Wriddhiman Sahaʠ,317,259,40,7,1
Yash Dayal,0,1,0,0,0
Yashasvi Jaiswal,258,194,28,10,0
Yuzvendra Chahal,5,8,0,0,1
